genres,spoken_languages,title,vote_average
"['Animation', 'Comedy', 'Family']",['English'],Toy Story,7.7
"['Adventure', 'Fantasy', 'Family']","['English', 'Français']",Jumanji,6.9
"['Romance', 'Comedy']",['English'],Grumpier Old Men,6.5
"['Comedy', 'Drama', 'Romance']",['English'],Waiting to Exhale,6.1
['Comedy'],['English'],Father of the Bride Part II,5.7
"['Action', 'Crime', 'Drama', 'Thriller']","['English', 'Español']",Heat,7.7
"['Comedy', 'Romance']","['Français', 'English']",Sabrina,6.2
"['Action', 'Adventure', 'Drama', 'Family']","['English', 'Deutsch']",Tom and Huck,5.4
"['Action', 'Adventure', 'Thriller']",['English'],Sudden Death,5.5
"['Adventure', 'Action', 'Thriller']","['English', 'Pусский', 'Español']",GoldenEye,6.6
"['Comedy', 'Drama', 'Romance']",['English'],The American President,6.5
"['Comedy', 'Horror']","['English', 'Deutsch']",Dracula: Dead and Loving It,5.7
"['Family', 'Animation', 'Adventure']",['English'],Balto,7.1
"['History', 'Drama']",['English'],Nixon,7.1
"['Action', 'Adventure']","['English', 'Latin']",Cutthroat Island,5.7
"['Drama', 'Crime']",['English'],Casino,7.8
"['Drama', 'Romance']",['English'],Sense and Sensibility,7.2
"['Crime', 'Comedy']",['English'],Four Rooms,6.5
"['Crime', 'Comedy', 'Adventure']",['English'],Ace Ventura: When Nature Calls,6.1
"['Action', 'Comedy', 'Crime']",['English'],Money Train,5.4
"['Comedy', 'Thriller', 'Crime']",['English'],Get Shorty,6.4
"['Drama', 'Thriller']","['English', 'Deutsch']",Copycat,6.5
"['Action', 'Adventure', 'Crime', 'Thriller']","['English', 'Español', 'Nederlands']",Assassins,6.0
"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",['English'],Powder,6.3
"['Drama', 'Romance']",['English'],Leaving Las Vegas,7.1
['Drama'],['English'],Othello,7.0
"['Comedy', 'Drama', 'Family']",['English'],Now and Then,6.6
"['Drama', 'Romance']",['English'],Persuasion,7.4
"['Fantasy', 'Science Fiction', 'Adventure']","['广州话 / 廣州話', 'Français']",The City of Lost Children,7.6
"['Drama', 'Crime']",['普通话'],Shanghai Triad,6.5
"['Drama', 'Crime']",['English'],Dangerous Minds,6.4
"['Science Fiction', 'Thriller', 'Mystery']","['English', 'Français']",Twelve Monkeys,7.4
"['Fantasy', 'Drama', 'Comedy', 'Family']",['English'],Babe,6.0
"['History', 'Drama', 'Romance']",['English'],Carrington,6.4
['Drama'],['English'],Dead Man Walking,7.3
"['Adventure', 'History', 'Drama', 'Family']","['Pусский', 'English']",Across the Sea of Time,3.5
"['Comedy', 'Family', 'Romance']",['English'],It Takes Two,6.1
"['Comedy', 'Drama', 'Romance']","['Español', 'English']",Clueless,6.9
['Drama'],['English'],"Cry, the Beloved Country",6.7
"['Drama', 'War']",['English'],Richard III,6.9
"['Action', 'Crime', 'Drama', 'History']",['English'],Dead Presidents,6.6
"['Drama', 'Romance']","['English', 'Español']",Restoration,6.3
"['Action', 'Fantasy']",['English'],Mortal Kombat,5.4
"['Fantasy', 'Drama', 'Comedy', 'Thriller']",['English'],To Die For,6.7
"['Drama', 'Romance']",['English'],How To Make An American Quilt,6.5
"['Crime', 'Mystery', 'Thriller']",['English'],Se7en,8.1
"['Adventure', 'Animation', 'Drama', 'Family']",['English'],Pocahontas,6.7
"['Drama', 'Romance']",['English'],When Night Is Falling,5.9
"['Drama', 'Crime', 'Thriller']","['Español', 'English', 'Français', 'Magyar']",The Usual Suspects,8.1
"['Action', 'Thriller', 'Drama']",[],Guardian Angel,6.3
"['Comedy', 'Romance']",['English'],Mighty Aphrodite,6.7
"['Drama', 'Foreign']","['shqip', 'Italiano']",Lamerica,7.7
"['Action', 'Adventure', 'Comedy', 'Family']","['English', 'Deutsch']",The Big Green,5.2
['Drama'],['English'],Georgia,6.1
[],['English'],Kids of the Round Table,3.0
"['Comedy', 'Drama', 'Romance']","['English', 'Español']",Home for the Holidays,6.3
"['Comedy', 'Drama', 'Romance']","['Italiano', 'Español']",The Postman,7.6
"['Thriller', 'Drama', 'Mystery']","['English', 'Français']",The Confessional,6.5
"['Adventure', 'Family', 'Fantasy']",['English'],The Indian in the Cupboard,5.9
"['Drama', 'Thriller']","['English', 'Français', '한국어/조선말', 'Español']",Eye for an Eye,5.8
"['Music', 'Drama', 'Family']",['English'],Mr. Holland's Opus,6.9
['Comedy'],"['English', 'Español']",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
"['Comedy', 'Romance']",['English'],Two If by Sea,4.5
['Comedy'],"['English', 'Pусский']",Bio-Dome,4.4
"['Action', 'Science Fiction']","['English', 'Magyar']",Lawnmower Man 2: Beyond Cyberspace,2.8
"['Drama', 'Family']",['English'],Two Bits,5.4
"['Comedy', 'Romance']","['Français', 'Español']",French Twist,6.0
['Comedy'],['English'],Friday,7.0
